hsn8,commodity,chapter,exp_usd_mn_fy25,exp_usd_mn_fy26,imp_usd_mn_fy25,imp_usd_mn_fy26,net_usd_mn_fy25,net_usd_mn_fy26,net_change_usd_mn
39033000,ACRYLONITRILE-BUTADIENE STYRENE COPOLYMRS,39,1.64,1.52,273.28,251.06,-271.64,-249.54,22.1
29024100,O-XYLENE,29,2.43,0.05,262.46,245.88,-260.03,-245.83,14.2
29071110,"PHENOL,PURE CARBOLIC ACID",29,19.05,21.23,263.48,233.71,-244.43,-212.48,31.95
59039090,OTHER FABRC PLTD LAMNTD COATD IMPREGNATED WITH OTHR PLASTICS,59,218.68,149.4,160.84,228.51,57.84,-79.11,-136.95
54075290,"OTHERS-OF-WOVEN FABRICS,DYED,CNTNG BY WT>=85% TEXTURED POLYESTER FILAMENTS",54,106.01,118.07,180.16,224.71,-74.15,-106.64,-32.49
39209999,OTHERS PLATE/ SHEETS ETC. OF OTHER PLASTIC N.E.S,39,19.76,16.1,213.48,219.69,-193.72,-203.59,-9.87
29261000,ACRYLONITRILE,29,9.02,4.05,270.09,219.05,-261.07,-215.0,46.07
29309099,OTHER ORGANO-SULPHUR COMPNDS,29,169.7,181.39,194.98,213.0,-25.28,-31.61,-6.33
52010025,"Cotton, other than Indian, of staple length exceeding 32.0 mm",52,0.89,3.11,272.46,209.42,-271.57,-206.31,65.26
29333990,*OTHER CMPNDS CNTNG AN UNFUSED PYRDN RING  (W/N HYDRGNTD ) IN STRUCTURE,29,856.47,719.39,271.62,207.16,584.85,512.23,-72.62
60019200,OTHER PILE FABRICS OF MAN-MADE FIBRES,60,3.18,2.62,152.27,205.68,-149.09,-203.06,-53.97
39219099,"OTHR PLTS,SHTS,FILM FOIL,STRIP ETC NES    OTHER",39,140.2,123.77,226.72,197.7,-86.52,-73.93,12.59
29269090,OTHERS-OF-OTHR NITRILE-FUNCTION COMPOUNDS,29,0.0,99.99,0.0,193.37,0.0,-93.38,-93.38
39011010,LINEAR L0W DENSITY P0LYETHYLENE (LLDPE),39,65.44,67.78,207.61,192.86,-142.17,-125.08,17.09
29415000,ERTHROMYCIN AND ITS DRVTVS SLTS THEREOF,29,107.77,94.68,170.29,189.82,-62.52,-95.14,-32.62
29291090,OTHER ISOCYANATES,29,8.54,9.36,193.84,189.26,-185.3,-179.9,5.4
29051990,OTHER SATURATED MONOHYDRIC ALCOHOLS,29,42.34,35.36,212.9,184.71,-170.56,-149.35,21.21
54024700,"YARN OF OTHER POLYSTER , SINGLE           UNTWSTD/A TWIST<=50 TURNS PER MTR",54,8.07,5.97,82.82,183.2,-74.75,-177.23,-102.48
55041090,OTHERS-OF-VISCOSE RAYON STAPLE FIBRES NT CRD/COMBD,55,0.09,0.75,98.13,178.88,-98.04,-178.13,-80.09
29161210,BUTYL ACRYLATE,29,3.05,1.78,264.85,178.7,-261.8,-176.92,84.88
39123929,OTHERS CELLULOSE ETHERS PLASTICIZED,39,2.57,3.31,172.98,178.27,-170.41,-174.96,-4.55
39073010,EPOXY RESINS,39,61.08,96.03,169.26,174.67,-108.18,-78.64,29.54
29242990,*OTHER CYCLIC AMIDES AND THR DRVTVS AND SALTS,29,384.86,440.49,193.86,173.25,191.0,267.24,76.24
39123919,OTHER CELLULOSE ETHERS NON-PLASTICIZED,39,12.29,14.5,190.93,172.24,-178.64,-157.74,20.9
29304000,METHIONINE,29,0.35,0.49,174.44,171.29,-174.09,-170.8,3.29
29336990,OTHER CMPND CNTNG AN UNFUSED TRIAZINE     RING(W/N HYDRGNTD) IN STRUCTURE,29,73.65,80.79,136.19,170.72,-62.54,-89.93,-27.39
29153200,VINYL ACETATE,29,11.91,7.46,188.89,168.72,-176.98,-161.26,15.72
29319090,OTHER-OF-OTHER-OF-OTHER ORGANO-INORGANIC COMPOUNDS,29,130.42,140.22,195.81,168.32,-65.39,-28.1,37.29
54024500,"OTHR YARN OF NYLON/OTHR POLYMDS,UNTWSTD   ORWTH A TWIST <=50 TURNS PER MTR SINGLE",54,4.0,2.29,99.83,167.68,-95.83,-165.39,-69.56
29072300,"4,4-ISOPROPYLIDENEPHNL (BISPHNL A,        DIPHENYLOLPROPANE) AND ITS SALTS",29,1.89,1.66,146.11,165.54,-144.22,-163.88,-19.66
29012990,OTHER ACYCLIC HYDROCARBONS,29,5.17,6.73,140.02,164.87,-134.85,-158.14,-23.29
29161400,ESTERS OF METHACRYLIC ACID,29,7.56,6.9,223.77,158.99,-216.21,-152.09,64.12
39204900,OTHR PLTES SHTS OF POLYMR OF VINYL CHLORID,39,83.12,84.41,136.12,158.82,-53.0,-74.41,-21.41
29161290,OTHER ESTERS OF ACRYLIC ACID,29,12.64,8.43,164.89,158.8,-152.25,-150.37,1.88
62034290,OF COTTON: OTHER,62,454.75,464.94,203.62,158.6,251.13,306.34,55.21
29331999,OTHERS-OF-OTHR HTRCYCLC CMPNDS CNTNG AN UNFUSED PYRZL RING (W/N HYDRGNTD) IN THE STRUCTURE,29,310.88,368.56,175.4,155.91,135.48,212.65,77.17
39081019,OTHER PRIMARY FORM POLYAMIDE -11 {NY/ON-11):,39,15.04,6.39,182.04,150.36,-167.0,-143.97,23.03
39206290,PLTES SHTS OF PLYETHYLN TEREPHTHALTE NES,39,96.21,80.43,151.06,149.66,-54.85,-69.23,-14.38
