state,vat_pct,ms_bnL,ethanol_bnL,vat_lost_cr,sgst_gain_cr,net_state_loss_cr
Maharashtra,25.0,5.91,1.48,2879,221,2658
Karnataka,29.84,4.13,1.03,2402,155,2247
UttarPradesh,19.36,6.53,1.63,2466,245,2221
Telangana,35.2,2.43,0.61,1671,91,1579
Rajasthan,29.04,2.75,0.69,1558,103,1455
MadhyaPradesh,29.0,2.64,0.66,1494,99,1395
Kerala,30.08,2.54,0.63,1490,95,1394
AndhraPradesh,31.0,2.2,0.55,1329,82,1247
TamilNadu,13.0,4.78,1.19,1211,179,1031
Gujarat,13.7,3.65,0.91,975,137,838
WestBengal,25.0,1.86,0.47,908,70,838
Odisha,28.0,1.56,0.39,853,59,795
Bihar,23.58,1.57,0.39,722,59,663
Haryana,18.2,1.93,0.48,686,72,613
Chhattisgarh,24.0,1.19,0.3,557,45,513
Punjab,16.58,1.69,0.42,547,63,484
Delhi,19.4,1.4,0.35,529,52,477
Assam,24.77,0.97,0.24,470,36,434
Jharkhand,22.0,1.02,0.26,438,38,400
Jammu&Kashmir,24.0,0.56,0.14,261,21,240
Uttarakhand,16.97,0.66,0.17,218,25,194
HimachalPradesh,17.5,0.48,0.12,165,18,146
Goa,21.5,0.29,0.07,123,11,112
Puducherry,14.55,0.26,0.06,74,10,64
Manipur,25.0,0.11,0.03,55,4,51
Chandigarh,15.24,0.17,0.04,52,7,45
Meghalaya,13.5,0.2,0.05,52,7,45
Nagaland,21.75,0.08,0.02,34,3,31
ArunachalPradesh,14.5,0.12,0.03,34,5,30
Tripura,17.5,0.1,0.02,33,4,29
Mizoram,18.0,0.08,0.02,28,3,25
Sikkim,22.0,0.04,0.01,18,2,16
Dadra & Nagar Haveli And Daman & Diu,12.75,0.06,0.02,16,2,14
Ladakh,15.0,0.03,0.01,9,1,8
Lakshadweep,10.0,0.0,0.0,0,0,0
Andaman&Nicobar,1.0,0.03,0.01,1,1,-1
