blend,mileage_drop_pct,pool_bnL,extra_bnL,consumer_extra_cr,excise_extra_cr,vat_extra_cr,dealer_extra_cr,omc_extra_cr
E20,4.0,54.05,2.16,22703,4303,4216,886,757
E25,5.5,54.91,3.02,31712,6010,5889,1238,1057
E30,7.000000000000001,55.8,3.91,41011,7773,7616,1601,1367
IB16 (energy-basis),2.8000000000000003,53.39,1.49,15696,2975,2915,613,523
IB24 (energy-basis),4.1000000000000005,54.11,2.22,23295,4415,4326,910,776
