state,vat_pct,ms_bnL,ethanol_bnL,vat_lost_cr,sgst_gain_cr,net_state_loss_cr
Maharashtra,25.0,5.91,1.18,2303,177,2126
Karnataka,29.84,4.13,0.83,1921,124,1798
UttarPradesh,19.36,6.53,1.31,1972,196,1776
Telangana,35.2,2.43,0.49,1337,73,1264
Rajasthan,29.04,2.75,0.55,1246,83,1164
Kerala,30.08,2.54,0.51,1192,76,1116
MadhyaPradesh,29.0,2.64,0.53,1195,79,1116
AndhraPradesh,31.0,2.2,0.44,1063,66,997
TamilNadu,13.0,4.78,0.96,968,143,825
Gujarat,13.7,3.65,0.73,780,110,671
WestBengal,25.0,1.86,0.37,727,56,671
Odisha,28.0,1.56,0.31,683,47,636
Bihar,23.58,1.57,0.31,577,47,530
Haryana,18.2,1.93,0.39,549,58,491
Chhattisgarh,24.0,1.19,0.24,446,36,410
Punjab,16.58,1.69,0.34,438,51,387
Delhi,19.4,1.4,0.28,423,42,381
Assam,24.77,0.97,0.19,376,29,347
Jharkhand,22.0,1.02,0.2,351,31,320
Jammu&Kashmir,24.0,0.56,0.11,209,17,192
Uttarakhand,16.97,0.66,0.13,175,20,155
HimachalPradesh,17.5,0.48,0.1,132,14,117
Goa,21.5,0.29,0.06,98,9,89
Puducherry,14.55,0.26,0.05,59,8,51
Manipur,25.0,0.11,0.02,44,3,41
Chandigarh,15.24,0.17,0.03,42,5,36
Meghalaya,13.5,0.2,0.04,42,6,36
Nagaland,21.75,0.08,0.02,27,2,25
ArunachalPradesh,14.5,0.12,0.02,27,4,24
Tripura,17.5,0.1,0.02,26,3,23
Mizoram,18.0,0.08,0.02,23,2,20
Sikkim,22.0,0.04,0.01,14,1,13
Dadra & Nagar Haveli And Daman & Diu,12.75,0.06,0.01,13,2,11
Ladakh,15.0,0.03,0.01,7,1,6
Andaman&Nicobar,1.0,0.03,0.01,0,1,0
Lakshadweep,10.0,0.0,0.0,0,0,0
